district,voter_21,Rvoter_21,Dvoter_21,d_type,voter_22,Rvoter_22,Dvoter_22,oth21,oth22,v_up_down,d_up_down,r_up_down,oth_up_down,dvr21,dvr22,part_control21,part_control22,party_switch
STH067,38147.0,24250.0,8995.0,State House,38864.0,24823.0,8916.0,4902.0,5125.0,-717.0,79.0,-573.0,-223.0,-15255.0,-15907.0,GOP,GOP,False
STH068,37084.0,24363.0,8000.0,State House,39917.0,26453.0,8389.0,4721.0,5075.0,-2833.0,-389.0,-2090.0,-354.0,-16363.0,-18064.0,GOP,GOP,False
STH069,40798.0,26490.0,10394.0,State House,42720.0,27895.0,10595.0,3914.0,4230.0,-1922.0,-201.0,-1405.0,-316.0,-16096.0,-17300.0,GOP,GOP,False
STH070,39898.0,11945.0,21934.0,State House,47331.0,18849.0,20807.0,6019.0,7675.0,-7433.0,1127.0,-6904.0,-1656.0,9989.0,1958.0,Dem,Dem,False
STH071,39046.0,17424.0,17269.0,State House,40202.0,21165.0,14753.0,4353.0,4284.0,-1156.0,2516.0,-3741.0,69.0,-155.0,-6412.0,GOP,GOP,False
STH072,37935.0,18662.0,15489.0,State House,41373.0,18270.0,18513.0,3784.0,4590.0,-3438.0,-3024.0,392.0,-806.0,-3173.0,243.0,GOP,Dem,True
STH073,36584.0,19898.0,12737.0,State House,37057.0,20905.0,12037.0,3949.0,4115.0,-473.0,700.0,-1007.0,-166.0,-7161.0,-8868.0,GOP,GOP,False
STH074,42212.0,12864.0,22161.0,State House,39615.0,14617.0,18382.0,7187.0,6616.0,2597.0,3779.0,-1753.0,571.0,9297.0,3765.0,Dem,Dem,False
STH075,40922.0,23149.0,13042.0,State House,40641.0,23333.0,12682.0,4731.0,4626.0,281.0,360.0,-184.0,105.0,-10107.0,-10651.0,GOP,GOP,False
STH076,35634.0,19768.0,11387.0,State House,37328.0,20587.0,11268.0,4479.0,5473.0,-1694.0,119.0,-819.0,-994.0,-8381.0,-9319.0,GOP,GOP,False
STH077,39295.0,11341.0,19370.0,State House,40845.0,14436.0,18848.0,8584.0,7561.0,-1550.0,522.0,-3095.0,1023.0,8029.0,4412.0,Dem,Dem,False
STH078,41693.0,29064.0,8324.0,State House,41662.0,29796.0,7933.0,4305.0,3933.0,31.0,391.0,-732.0,372.0,-20740.0,-21863.0,GOP,GOP,False
STH079,36705.0,19546.0,12059.0,State House,38086.0,20589.0,12154.0,5100.0,5343.0,-1381.0,-95.0,-1043.0,-243.0,-7487.0,-8435.0,GOP,GOP,False
STH080,41169.0,27668.0,8979.0,State House,41157.0,27918.0,8699.0,4522.0,4540.0,12.0,280.0,-250.0,-18.0,-18689.0,-19219.0,GOP,GOP,False
STH081,42272.0,24443.0,12709.0,State House,40937.0,26535.0,9869.0,5120.0,4533.0,1335.0,2840.0,-2092.0,587.0,-11734.0,-16666.0,GOP,GOP,False
STH082,36365.0,23819.0,8506.0,State House,42657.0,16503.0,18071.0,4040.0,8083.0,-6292.0,-9565.0,7316.0,-4043.0,-15313.0,1568.0,GOP,Dem,True
